category,description
malware,"A malicious software program that infects systems to steal data or cause damage. Example: Trojan horse disguised as legitimate software."
malware,"Suspicious executable file detected in system32 folder attempting to modify registry entries and establish outbound connections."
malware,"New process running with elevated privileges, creating persistence through scheduled tasks and modifying firewall rules."
malware,"Unknown DLL file loaded by legitimate process, exhibiting behavior of injecting code into other running processes."
malware,"Fileless malware detected in memory, using PowerShell to download and execute payload without writing to disk."
phishing,"Deceptive emails or messages attempting to steal sensitive information. Example: Fake bank login page asking for credentials."
phishing,"Email claiming to be from IT department requesting password verification with link to internal-looking portal."
phishing,"SMS message about package delivery with tracking link that redirects to credential harvesting site."
phishing,"Social media message from compromised account asking to click link for urgent document review."
phishing,"Voicemail notification email with attachment claiming to be from corporate voicemail system."
ddos,"Distributed Denial of Service attack overwhelming servers with traffic. Example: Botnet flooding target website with requests."
ddos,"Multiple servers experiencing SYN flood attacks from spoofed IP addresses, causing service degradation."
ddos,"Application layer DDoS attack targeting specific API endpoints with carefully crafted requests."
ddos,"DNS amplification attack using open resolvers to flood target with large response packets."
ddos,"NTP reflection attack exploiting vulnerable time servers to amplify traffic towards target."
ransomware,"Encrypts files and demands payment for decryption. Example: WannaCry encrypting files and demanding Bitcoin payment."
ransomware,"Files across network shares being encrypted with .locked extension, ransom note in each folder."
ransomware,"Double extortion ransomware that both encrypts files and threatens to leak stolen data."
ransomware,"Ransomware targeting specific file types like databases and backup files first."
ransomware,"Ransomware using strong encryption and unique key per victim, demanding payment in Monero."
sql_injection,"Exploiting database vulnerabilities through malicious SQL queries. Example: Injecting SQL code through web form inputs."
sql_injection,"Login form vulnerable to UNION-based SQL injection allowing extraction of user credentials."
sql_injection,"Search functionality susceptible to error-based SQL injection revealing database structure."
sql_injection,"Time-based blind SQL injection in product filtering system leaking sensitive data."
sql_injection,"Second-order SQL injection through user profile updates affecting other users' data."
zero_day,"Exploiting unknown vulnerabilities before patches are available. Example: Attack using undisclosed software vulnerability."
zero_day,"New exploit targeting unpatched vulnerability in widely used enterprise software."
zero_day,"Zero-day in network protocol stack allowing remote code execution without authentication."
zero_day,"Browser zero-day exploit chain combining multiple vulnerabilities for complete system compromise."
zero_day,"Zero-day in virtualization software allowing escape from guest to host system."
insider_threat,"Malicious actions by authorized users. Example: Employee stealing sensitive company data."
insider_threat,"Employee using elevated privileges to access and exfiltrate customer databases."
insider_threat,"Contractor installing unauthorized software to capture network traffic."
insider_threat,"Disgruntled employee systematically deleting critical business files."
insider_threat,"Insider using legitimate access to modify financial records for personal gain."
brute_force,"Repeated login attempts to guess passwords. Example: Automated tool trying common password combinations."
brute_force,"Credential stuffing attack using previously breached username/password pairs."
brute_force,"Password spraying attack trying common passwords across multiple accounts."
brute_force,"Dictionary attack targeting SSH service with common username/password combinations."
brute_force,"Rainbow table attack against weakly hashed password database."
man_in_middle,"Intercepting and altering communications. Example: Attacker positioning between user and website."
man_in_middle,"ARP spoofing attack redirecting traffic through attacker-controlled system."
man_in_middle,"SSL stripping attack downgrading HTTPS connections to HTTP."
man_in_middle,"DNS spoofing redirecting domain lookups to malicious servers."
man_in_middle,"BGP hijacking redirecting network traffic through unauthorized paths."
credential_stuffing,"Using stolen credentials across multiple sites. Example: Using leaked passwords from one site on others."
credential_stuffing,"Automated login attempts using credentials from recent data breaches."
credential_stuffing,"Bulk testing of email/password combinations across multiple services."
credential_stuffing,"Reuse of corporate credentials on personal and third-party services."
credential_stuffing,"Testing known password patterns across different username formats."
social_engineering,"Manipulating people to reveal sensitive information. Example: Impersonating IT support to get passwords."
social_engineering,"CEO fraud email requesting urgent wire transfer to new account."
social_engineering,"Vendor impersonation requesting updated payment information."
social_engineering,"Help desk call from 'Microsoft' claiming system infection."
social_engineering,"Fake job offer requesting personal information for 'background check'."
advanced_persistent_threat,"Long-term targeted attack by skilled adversaries. Example: Nation-state actors infiltrating corporate networks."
advanced_persistent_threat,"Sophisticated campaign using custom malware and living-off-the-land techniques."
advanced_persistent_threat,"Multi-stage attack with initial foothold through spear phishing."
advanced_persistent_threat,"APT group using zero-days and custom tools for lateral movement."
advanced_persistent_threat,"Targeted attack maintaining persistence through multiple detection attempts."
iot_exploitation,"Attacking vulnerable Internet of Things devices. Example: Compromising smart cameras for botnet creation."
